id,title,average_rating,std_rating
ztuCObOc2i,Neural Sinkhorn Gradient Flow,5.4,0.4898979485566356
ztpy1gsUpT,Enhancing Small Medical Learners with Privacy-preserving Contextual Prompting,6.0,0.0
zsfrzYWoOP,FABRIC: Personalizing Diffusion Models with Iterative Feedback,5.666666666666667,0.4714045207910317
zrxlSviRqC,Learning energy-based models by self-normalising the likelihood,5.0,0.0
zpVPhvVKXk,"Get What You Want, Not What You Don't: Image Content Suppression for Text-to-Image Diffusion Models",6.0,0.0
zlcktbqv6b,Med-Tuning: Parameter-Efficient Transfer Learning with Fine-Grained Feature Enhancement for Medical Volumetric Segmentation,5.25,0.4330127018922193
zhJDD85QHD,CEIR: Concept-based Explainable Image Representation Learning,3.0,0.0
zhINOCrrqI,AttributionLab: Faithfulness of Feature Attribution Under Controllable Environments,5.75,0.4330127018922193
zeobgjmUCc,Using Machine Learning Models to Predict Genitourinary Involvement Among Gastrointestinal Stromal Tumour Patients,1.0,0.0
zec5DTsCLv,Tailored Visions: Enhancing Text-to-Image Generation with Personalized Prompt Rewriting,3.0,0.0
zbOSJ3CATY,A ROBUST DIFFERENTIAL NEURAL ODE OPTIMIZER,6.0,0.0
zb3b6oKO77,How do Language Models Bind Entities in Context?,5.5,0.5
zYXFMeHRtO,FROSTER: Frozen CLIP is A Strong Teacher for Open-Vocabulary Action Recognition,6.0,0.0
zQwNAZ1cMT,Learning Multi-Objective Program Through Online Learning,3.0,0.0
zMvMwNvs4R,Error Norm Truncation: Robust Training in the Presence of Data Noise for Text Generation Models,6.0,0.0
zMoNrajk2X,CADS: Unleashing the Diversity of Diffusion Models through Condition-Annealed Sampling,8.0,0.0
zMPHKOmQNb,Protein Discovery with Discrete Walk-Jump Sampling,8.0,0.0
zI6mMl7UmW,Rethinking Spectral Graph Neural Networks with Spatially Adaptive Filtering,5.5,0.5
zI6fKENVL8,Federated Learning with Differential Privacy for End-to-End Speech Recognition,3.0,0.0
zEOnlJaRKp,Collaboration! Towards Robust Neural Methods for Vehicle Routing Problems,5.5,0.5
zBgAlcIoZP,Dynamic Mode Decomposition-inspired Autoencoders for Reduced-order Modeling and Control of PDEs : Theory and Design,6.0,0.0
z8TW0ttBPp,MathCoder: Seamless Code Integration in LLMs for Enhanced Mathematical Reasoning,5.75,0.4330127018922193
z7usV2BlEE,Making Large Language Models Better Reasoners with Alignment,5.5,0.5
ysue5S6cVS,Confidence-driven Sampling for Backdoor Attacks,5.666666666666667,0.4714045207910317
yozwqhIHXj,Image Translation as Diffusion Visual Programmers,6.0,0.0
yjX303Smre,Reinforcement Learning of Diverse Skills using Mixture of Deep Experts,5.5,0.5
yisfNWUEsD,SCALE: Synergized Collaboration of Asymmetric Language Translation Engines,5.666666666666667,0.4714045207910317
yhrWPZs6On,HYBRID GRANULARITY DISTRIBUTION ESTIMATION FOR FEW-SHOT LEARNING: STATISTICS TRANSFER FROM CATEGORIES AND INSTANCES,5.333333333333333,0.4714045207910317
